model,layer,probe,dataset_name,data_config,task,acc,class_accs,class_names
CLIP,layer_6,linear,RAVEN,in_center_single_out_center_single,Color_1,0.4325,"[0.2946, 0.5257, 0.5667, 0.3395]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_6,linear,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
CLIP,layer_6,MLP,RAVEN,center_single,Color,0.723,"[0.6891, 0.5021, 0.7753, 0.9243]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_6,MLP,RAVEN,center_single,Type,0.8125,"[0.8542, 0.9285, 0.6572]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_6,MLP,RAVEN,center_single,Size,0.687,"[0.7945, 0.6571, 0.7819, 0.5123]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_6,MLP,RAVEN,in_center_single_out_center_single,Size_1,0.489,"[0.3783, 0.4841, 0.7751, 0.3462]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_6,MLP,RAVEN,in_center_single_out_center_single,Type_1,0.5235,"[0.6356, 0.4749, 0.4551]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_6,MLP,RAVEN,in_center_single_out_center_single,Type_0,0.838,"[0.8558, 0.9123, 0.7518]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_6,MLP,RAVEN,in_center_single_out_center_single,Size_0,0.638,"[0.7343, 0.59, 0.5663]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_6,MLP,RAVEN,in_center_single_out_center_single,Color_1,0.541,"[0.4709, 0.4095, 0.8111, 0.4847]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_6,MLP,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
CLIP,layer_4,linear,RAVEN,center_single,Color,0.4165,"[0.3455, 0.6345, 0.3526, 0.3476]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_4,linear,RAVEN,center_single,Type,0.4145,"[0.1488, 0.2679, 0.8241]","['Constant', 'Progression', 'Distribute_Three']"
